               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12051,             0.22431,            0.040756,                   0,                   0,                   0,                   0,             0.11278,              0.1723,            0.039139,              0.0928,              0.0008,              0.0008
                   1,             0.11797,             0.24069,            0.038226,           0.0060976,            0.014228,           0.0035998,          0.00086169,             0.10584,             0.18633,            0.037436,            0.084683,           0.0016832,           0.0016832
                   2,             0.11088,             0.22671,            0.033445,            0.013818,            0.049458,            0.011171,           0.0031047,             0.10086,             0.18905,            0.031998,            0.076549,           0.0025485,           0.0025485
                   3,             0.10767,             0.24788,             0.02782,            0.017923,            0.072493,            0.015816,           0.0040443,            0.095674,             0.19087,            0.027214,            0.068396,            0.003396,            0.003396
                   4,             0.10221,             0.26105,            0.021992,             0.37992,            0.036585,            0.023187,           0.0060572,            0.092342,             0.17068,            0.019855,            0.060226,           0.0042258,           0.0042258
                   5,            0.093353,             0.24555,            0.016846,             0.38388,             0.12728,            0.036153,           0.0098854,            0.088976,             0.17215,            0.013612,            0.052038,           0.0050376,           0.0050376
                   6,            0.087942,             0.23937,             0.01297,             0.38372,              0.2332,            0.058147,            0.016542,            0.093003,             0.18335,            0.012267,            0.043832,           0.0058317,           0.0058317
                   7,            0.080687,             0.22675,            0.010145,             0.79007,             0.18022,             0.13428,            0.036235,            0.078636,             0.20285,            0.012518,            0.035608,            0.006608,            0.006608
                   8,            0.077021,             0.23019,           0.0085486,             0.79952,              0.2019,             0.15536,            0.058146,            0.077878,             0.24659,            0.012497,            0.027366,           0.0073664,           0.0073664
                   9,            0.074814,             0.19526,           0.0086603,             0.07762,              0.1206,            0.079575,            0.022411,            0.090899,             0.24751,            0.011838,            0.019107,            0.008107,            0.008107
                  10,            0.083529,             0.20865,           0.0075498,             0.79439,              0.2107,             0.13832,            0.038499,            0.079293,             0.17317,            0.011476,             0.01083,           0.0088298,           0.0088298
                  11,            0.070693,             0.22666,           0.0066114,             0.46476,             0.36206,             0.14744,            0.049443,            0.074536,             0.21133,            0.011896,            0.008911,            0.008911,            0.008911
                  12,            0.074781,             0.20581,           0.0064035,             0.54815,             0.40217,             0.36374,             0.12654,            0.072649,                0.16,            0.011363,            0.008911,            0.008911,            0.008911
                  13,            0.068163,             0.19663,            0.006323,             0.50777,             0.38035,             0.23258,            0.064923,            0.080728,             0.21079,            0.010618,            0.008812,            0.008812,            0.008812
                  14,            0.075977,             0.20594,           0.0058833,             0.51539,             0.42249,              0.2641,            0.084902,            0.073541,             0.14827,           0.0097572,            0.008713,            0.008713,            0.008713
                  15,             0.06644,              0.2265,           0.0058712,             0.54052,             0.52805,              0.4091,             0.21319,            0.070512,             0.17962,           0.0093235,            0.008614,            0.008614,            0.008614
                  16,            0.066112,              0.2195,           0.0055583,             0.71523,             0.61572,             0.64719,             0.23188,            0.053844,              0.1647,            0.008884,            0.008515,            0.008515,            0.008515
                  17,            0.060792,              0.2131,           0.0055686,             0.64683,             0.52946,             0.45088,             0.22913,            0.073742,             0.16979,           0.0081333,            0.008416,            0.008416,            0.008416
                  18,            0.070096,             0.19349,           0.0058894,             0.58614,             0.61911,             0.67904,              0.2618,            0.055035,              0.1385,           0.0076286,            0.008317,            0.008317,            0.008317
                  19,            0.055211,              0.2134,           0.0053341,             0.68389,             0.64024,             0.67043,             0.41414,            0.050836,             0.14807,           0.0071674,            0.008218,            0.008218,            0.008218
                  20,            0.058526,              0.1964,           0.0053544,             0.55962,             0.62626,             0.54954,             0.25243,            0.060306,             0.14634,           0.0068401,            0.008119,            0.008119,            0.008119
                  21,            0.060728,             0.21191,            0.005089,             0.51058,             0.61352,             0.36584,             0.14964,            0.076613,             0.15713,           0.0063583,             0.00802,             0.00802,             0.00802
                  22,            0.067973,             0.19627,           0.0050762,             0.68612,              0.5998,             0.59724,             0.31005,            0.059975,             0.13916,           0.0061638,            0.007921,            0.007921,            0.007921
                  23,            0.051338,             0.19777,           0.0051283,              0.7899,             0.62737,             0.67701,             0.38488,            0.048415,             0.14066,            0.006031,            0.007822,            0.007822,            0.007822
                  24,            0.058413,             0.18777,           0.0053591,             0.80819,             0.57846,             0.67528,             0.36672,            0.061003,             0.13255,           0.0060184,            0.007723,            0.007723,            0.007723
                  25,            0.058482,             0.17432,           0.0046246,             0.77073,              0.6084,             0.58211,             0.27405,            0.059478,             0.14281,           0.0058411,            0.007624,            0.007624,            0.007624
                  26,            0.058381,              0.1943,           0.0048553,             0.85455,              0.6074,               0.718,             0.34431,            0.047109,             0.13309,           0.0057587,            0.007525,            0.007525,            0.007525
                  27,            0.048969,             0.17896,           0.0048478,             0.82248,             0.62398,             0.67361,             0.40142,            0.050849,             0.15235,           0.0057461,            0.007426,            0.007426,            0.007426
                  28,            0.052014,             0.19212,           0.0045779,             0.85878,             0.62737,             0.72427,             0.34553,            0.039749,             0.12583,           0.0056728,            0.007327,            0.007327,            0.007327
                  29,            0.047925,             0.18506,           0.0044988,              0.7838,             0.60501,             0.55349,             0.23798,             0.05987,             0.14409,           0.0055481,            0.007228,            0.007228,            0.007228
                  30,            0.061409,             0.17735,           0.0045335,                0.86,             0.62805,             0.76078,             0.42503,            0.053226,             0.13032,           0.0054726,            0.007129,            0.007129,            0.007129
                  31,            0.049229,             0.16838,           0.0046866,             0.82945,             0.58523,             0.65341,             0.24516,             0.05598,             0.13997,           0.0054199,             0.00703,             0.00703,             0.00703
